1,1
2,4
3,9
4,16
5,8
6,2
7,15
8,13
9,13
0,15
1,2
2,8
3,16
4,9
5,4
6,1
7,0
8,1
9,4
0,9
1,16
2,8
3,2
4,15
5,13
6,13
7,15
8,2
9,8
0,16
1,9
2,4
3,1
4,0
5,1
6,4
7,9
8,16
9,8
0,2
1,15
2,13
3,13
4,15
5,2
6,8
7,16
8,9
9,4
0,1
1,0
2,1
3,4
4,9
5,16
6,8
7,2
8,15
9,13
0,13
1,15
2,2
3,8
4,16
5,9
6,4
7,1
8,0
9,1
0,4
1,9
2,16
3,8
4,2
5,15
6,13
7,13
8,15
9,2
0,8
1,16
2,9
3,4
4,1
5,0
6,1
7,4
8,9
9,16
0,8
1,2
2,15
3,13
4,13
5,15
6,2
7,8
8,16
9,9
0,4
1,1
2,0
3,1
4,4
5,9
6,16
7,8
8,2
9,15
0,13
1,13
2,15
3,2
4,8
5,16
6,9
7,4
8,1
9,0
0,1
1,4
2,9
3,16
4,8
5,2
6,15
7,13
8,13
9,15
0,2
1,8
2,16
3,9
4,4
5,1
6,0
7,1
8,4
9,9
0,16
1,8
2,2
3,15
4,13
5,13
6,15
7,2
8,8
9,16
0,9
1,4
2,1
3,0
4,1
5,4
6,9
7,16
8,8
9,2
0,15
1,13
2,13
3,15
4,2
5,8
6,16
7,9
8,4
9,1
0,0
1,1
2,4
3,9
4,16
5,8
6,2
7,15
8,13
9,13
0,15
1,2
2,8
3,16
4,9
5,4
6,1
7,0
8,1
9,4
0,9
1,16
2,8
3,2
4,15
5,13
6,13
7,15
8,2
9,8
0,16
1,9
2,4
3,1
4,0
5,1
6,4
7,9
8,16
9,8
0,2
1,15
2,13
3,13
4,15
5,2
6,8
7,16
8,9
9,4
0,1
1,0
2,1
3,4
4,9
5,16
6,8
7,2
8,15
9,13
0,13
1,15
2,2
3,8
4,16
5,9
6,4
7,1
8,0
9,1
0,4
1,9
2,16
3,8
4,2
5,15
6,13
7,13
8,15
9,2
0,8
1,16
2,9
3,4
4,1
5,0
6,1
7,4
8,9
9,16
0,8
1,2
2,15
3,13
4,13
5,15
6,2
7,8
8,16
9,9
0,4
1,1
2,0
3,1
4,4
5,9
6,16
7,8
8,2
9,15
0,13
1,13
2,15
3,2
4,8
5,16
6,9
7,4
8,1
9,0
0,1
1,4
2,9
3,16
4,8
5,2
6,15
7,13
8,13
9,15
0,2
1,8
2,16
3,9
4,4
5,1
6,0
7,1
8,4
9,9
0,16
1,8
2,2
3,15
4,13
5,13
6,15
7,2
8,8
9,16
0,9
1,4
2,1
3,0
4,1
5,4
6,9
7,16
8,8
9,2
0,15
1,13
2,13
3,15
4,2
5,8
6,16
7,9
8,4
9,1
0,0
1,1
2,4
3,9
4,16
5,8
6,2
7,15
8,13
9,13
0,15
1,2
2,8
3,16
4,9
5,4
6,1
7,0
8,1
9,4
0,9
1,16
2,8
3,2
4,15
5,13
6,13
7,15
8,2
9,8
0,16
1,9
2,4
3,1
4,0
5,1
6,4
7,9
8,16
9,8
0,2
1,15
2,13
3,13
4,15
5,2
6,8
7,16
8,9
9,4
0,1
1,0
2,1
3,4
4,9
5,16
6,8
7,2
8,15
9,13
0,13
1,15
2,2
3,8
4,16
5,9
6,4
7,1
8,0
9,1
0,4
1,9
2,16
3,8
4,2
5,15
6,13
7,13
8,15
9,2
0,8
1,16
2,9
3,4
4,1
5,0
6,1
7,4
8,9
9,16
0,8
1,2
2,15
3,13
4,13
5,15
6,2
7,8
8,16
9,9
0,4
1,1
2,0
3,1
4,4
5,9
6,16
7,8
8,2
9,15
0,13
1,13
2,15
3,2
4,8
5,16
6,9
7,4
8,1
9,0
0,1
1,4
2,9
3,16
4,8
5,2
6,15
7,13
8,13
9,15
0,2
1,8
2,16
3,9
4,4
5,1
6,0
7,1
8,4
9,9
0,16
1,8
2,2
3,15
4,13
5,13
6,15
7,2
8,8
9,16
0,9
1,4
2,1
3,0
4,1
5,4
6,9
7,16
8,8
9,2
0,15

